name,domain,da,pa_home,site_url,image_url,kind,recipes_on_punchfork,in_domains,moz_http
Girl Versus Dough,girlversusdough.com,51.0,53.0,https://www.girlversusdough.com/,https://fastimg1.global.ssl.fastly.net/pub/72/d5/72d53b3364e2f101b447167e93e8a721_250x250.jpg,blogger,523,no,200
Dinner Mom,dinner-mom.com,51.0,49.0,https://www.dinner-mom.com/,https://fastimg1.global.ssl.fastly.net/pub/81/7e/817ed3f2b4355a9eb350ded7e51bdc3e_250x250.jpg,blogger,319,no,200
I Heart Umami,iheartumami.com,50.0,52.0,https://iheartumami.com/,https://fastimg1.global.ssl.fastly.net/pub/a8/c4/a8c48e623fef97c31f04cd455b76c4d1_250x250.jpg,blogger,595,no,200
The Wicked Noodle,thewickednoodle.com,50.0,54.0,https://www.thewickednoodle.com/,https://fastimg1.global.ssl.fastly.net/pub/ec/f4/ecf4d5ec06e00b0fd175f1b7b91db63d_250x250.jpg,blogger,586,no,200
The Little Kitchen,thelittlekitchen.net,50.0,56.0,https://www.thelittlekitchen.net/,https://fastimg1.global.ssl.fastly.net/pub/12/03/1203f50193e7ca32c25963ca02568972_250x250.jpg,blogger,201,no,200
Happy Mothering,happy-mothering.com,50.0,53.0,https://www.happy-mothering.com/,https://fastimg1.global.ssl.fastly.net/pub/ec/b5/ecb5ab4075400a0141040371901cac87_250x250.jpg,blogger,190,no,200
Savor the Best,savorthebest.com,49.0,53.0,https://savorthebest.com/,https://fastimg1.global.ssl.fastly.net/pub/fa/d3/fad31587dfb1dc01cfb178bb6a20b8e0_250x250.jpg,blogger,1591,no,200
The Defined Dish,thedefineddish.com,49.0,51.0,https://thedefineddish.com/,https://fastimg1.global.ssl.fastly.net/pub/3a/ad/3aad71e048e126940eef336de99d4e1a_250x250.jpg,blogger,889,no,200
Fun Money Mom,funmoneymom.com,49.0,51.0,https://funmoneymom.com/,https://fastimg1.global.ssl.fastly.net/pub/93/53/9353eb558bd7657018382c78f4d73c29_250x250.jpg,blogger,661,no,200
Real Food with Jessica,realfoodwithjessica.com,49.0,44.0,https://www.realfoodwithjessica.com/,https://fastimg1.global.ssl.fastly.net/pub/45/6e/456ec2fc3c55e41dc240da3f6fd34ebf_250x250.jpg,blogger,541,no,200
The Little Ferraro Kitchen,littleferrarokitchen.com,49.0,50.0,https://littleferrarokitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/b0/7e/b07e9c69138f1c494bca9e9005ad1a0f_250x250.jpg,blogger,531,no,200
Dizzy Busy and Hungry,dizzybusyandhungry.com,49.0,49.0,https://dizzybusyandhungry.com/,https://fastimg1.global.ssl.fastly.net/pub/be/c3/bec3001e137918c45e805c99d9beab84_250x250.jpg,blogger,514,no,403
Not Enough Cinnamon,notenoughcinnamon.com,49.0,51.0,https://www.notenoughcinnamon.com/,https://fastimg1.global.ssl.fastly.net/pub/a7/68/a768ee2d93d7f22dfc9c74298a8f0605_250x250.jpg,blogger,477,no,200
Killing Thyme,killingthyme.net,49.0,50.0,https://www.killingthyme.net/,https://fastimg1.global.ssl.fastly.net/pub/e0/25/e0258384301775b8c52f1b29eb03ef8d_250x250.jpg,blogger,405,no,403
Gnom-Gnom,gnom-gnom.com,49.0,53.0,https://www.gnom-gnom.com/,https://fastimg1.global.ssl.fastly.net/pub/4d/83/4d83d022142e524f12bcacc73db7189c_250x250.jpg,blogger,330,no,200
Simplistically Living,simplisticallyliving.com,48.0,47.0,https://www.simplisticallyliving.com/,https://fastimg1.global.ssl.fastly.net/pub/82/d4/82d47945b9f4527a7d8ebd1ffef42edd_250x250.jpg,blogger,588,no,403
The Beach House Kitchen,thebeachhousekitchen.com,47.0,48.0,https://thebeachhousekitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/87/73/8773e4b19bd421f012c96951b4b97811_250x250.jpg,blogger,782,no,200
The Honour System,thehonoursystem.com,47.0,47.0,https://thehonoursystem.com/,https://fastimg1.global.ssl.fastly.net/pub/11/c0/11c0a86cf3925e790c211b45f3a2eec3_250x250.jpg,blogger,568,no,15
Delightful Mom Food,delightfulmomfood.com,47.0,48.0,https://delightfulmomfood.com/,https://fastimg1.global.ssl.fastly.net/pub/3e/ad/3ead92f870215b7aad108be4a4adf41a_250x250.jpg,blogger,502,no,2
The Healthy Epicurean,thehealthyepicurean.com,47.0,46.0,https://thehealthyepicurean.com/,https://fastimg1.global.ssl.fastly.net/pub/33/a4/33a4fd2488d185443e5c7a3c2f774ac5_250x250.jpg,blogger,340,no,200
Slimming Eats,slimmingeats.com,46.0,52.0,http://www.slimmingeats.com/,https://fastimg1.global.ssl.fastly.net/pub/9b/01/9b01aea1288f31936dd40924697d9cfd_250x250.jpg,blogger,997,no,301
